property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
115,1929,782817.68,M_243137_912347,Lynn,MA,Two-Family Residential,2,,,
116,1929,869071.82,M_243137_912362,Lynn,MA,Two-Family Residential,2,,,
117,1929,756972.38,M_243135_912377,Lynn,MA,Two-Family Residential,2,,,
118,1929,792685.08,M_243133_912393,Lynn,MA,Two-Family Residential,2,,,
119,1900,998674.03,M_243133_912411,Lynn,MA,Three-Family Residential,3,,,
120,1905,937259.67,M_243130_912445,Lynn,MA,Two-Family Residential,2,,,
121,1880,794806.63,M_243080_912423,Lynn,MA,Two-Family Residential,2,,,
122,1920,1041325.97,M_243082_912408,Lynn,MA,Three-Family Residential,3,,,
123,1908,697337.02,M_243058_912301,Lynn,MA,Two-Family Residential,2,,,
124,1880,712707.18,M_243041_912300,Lynn,MA,Three-Family Residential,3,,,
125,1900,715248.62,M_243047_912314,Lynn,MA,Three-Family Residential,3,,,
126,1920,903867.40,M_243044_912390,Lynn,MA,Three-Family Residential,3,,,
127,1920,842121.55,M_243077_912303,Lynn,MA,Two-Family Residential,2,,,
128,1900,1067955.80,M_242997_912368,Lynn,MA,Three-Family Residential,3,,,
129,1900,723734.81,M_242998_912353,Lynn,MA,Two-Family Residential,2,,,
130,1920,867513.81,M_242997_912338,Lynn,MA,Three-Family Residential,3,,,
131,1900,841988.95,M_243003_912324,Lynn,MA,Three-Family Residential,3,,,
132,1890,972375.69,M_242972_912297,Lynn,MA,Three-Family Residential,3,,,
133,1900,872154.70,M_242970_912351,Lynn,MA,Three-Family Residential,3,,,
134,1880,851756.91,M_242950_912287,Lynn,MA,Two-Family Residential,2,,,
135,1900,1010055.25,M_242924_912345,Lynn,MA,Three-Family Residential,3,,,
136,1900,982541.44,M_242842_912323,Lynn,MA,Two-Family Residential,2,,,
137,1900,920220.99,M_242893_912323,Lynn,MA,Three-Family Residential,3,,,
138,1920,889359.12,M_242912_912301,Lynn,MA,Two-Family Residential,2,,,
139,1900,710243.09,M_242910_912272,Lynn,MA,Two-Family Residential,2,,,
140,1924,817127.07,M_242899_912279,Lynn,MA,Three-Family Residential,3,,,
141,1920,1101988.95,M_242890_912287,Lynn,MA,Three-Family Residential,3,,,
142,1900,935690.61,M_242877_912298,Lynn,MA,Three-Family Residential,3,,,
143,1900,1521878.45,M_242863_912310,Lynn,MA,Apartments with Four to Eight Units,6,,,
144,1905,844640.88,M_243473_912083,Lynn,MA,Three-Family Residential,3,,,
145,1900,881325.97,M_243492_912082,Lynn,MA,Three-Family Residential,3,,,
146,1900,1036906.08,M_243399_912043,Lynn,MA,Three-Family Residential,4,,,
147,1900,647071.82,M_243417_912061,Lynn,MA,Two-Family Residential,2,,,
148,1900,860662.98,M_243085_912083,Lynn,MA,Three-Family Residential,3,,,
149,1900,906629.83,M_243096_912073,Lynn,MA,Three-Family Residential,3,,,
150,1884,722430.94,M_242997_912155,Lynn,MA,Two-Family Residential,2,,,
151,1900,1249281.77,M_243005_912137,Lynn,MA,Apartments with Four to Eight Units,4,,,
152,1900,972928.18,M_243017_912125,Lynn,MA,Three-Family Residential,3,,,
153,1900,917237.57,M_243032_912114,Lynn,MA,Three-Family Residential,3,,,
154,1880,836011.05,M_243051_912113,Lynn,MA,Two-Family Residential,2,,,
155,1900,865569.06,M_242898_912140,Lynn,MA,Two-Family Residential,2,,,
156,1900,791944.75,M_242928_912144,Lynn,MA,Two-Family Residential,3,,,
157,1900,845966.85,M_242946_912150,Lynn,MA,Three-Family Residential,3,,,
158,1920,940994.48,M_242696_912063,Lynn,MA,Three-Family Residential,3,,,
159,1920,926077.35,M_242738_912048,Lynn,MA,Three-Family Residential,3,,,
160,1900,792994.48,M_242767_912045,Lynn,MA,Two-Family Residential,2,,,
161,1935,938121.55,M_242789_912048,Lynn,MA,Three-Family Residential,3,,,
162,1935,775325.97,M_242812_912049,Lynn,MA,Two-Family Residential,2,,,
163,1890,736154.70,M_242760_912120,Lynn,MA,Two-Family Residential,2,,,
164,1903,701966.85,M_242804_912128,Lynn,MA,Two-Family Residential,2,,,
165,1900,967624.31,M_242811_912086,Lynn,MA,Three-Family Residential,3,,,
166,1920,799878.45,M_242687_912188,Lynn,MA,Two-Family Residential,2,,,
167,1880,753259.67,M_242716_912184,Lynn,MA,Three-Family Residential,3,,,
168,1920,745977.90,M_242793_912173,Lynn,MA,Two-Family Residential,2,,,
169,1920,823834.25,M_242809_912174,Lynn,MA,Two-Family Residential,2,,,
170,1920,932154.70,M_242853_912177,Lynn,MA,Three-Family Residential,3,,,
171,1920,872375.69,M_242866_912177,Lynn,MA,Three-Family Residential,3,,,
172,1900,876906.08,M_242880_912179,Lynn,MA,Three-Family Residential,3,,,
173,1910,827193.37,M_242892_912180,Lynn,MA,Two-Family Residential,2,,,
174,1915,712375.69,M_242907_912182,Lynn,MA,Two-Family Residential,2,,,
175,1906,821425.41,M_242922_912184,Lynn,MA,Two-Family Residential,2,,,
176,1920,777613.26,M_242936_912187,Lynn,MA,Two-Family Residential,2,,,
177,1920,862430.94,M_242954_912189,Lynn,MA,Three-Family Residential,3,,,
178,1915,968839.78,M_242832_912177,Lynn,MA,Three-Family Residential,3,,,
179,1920,793701.66,M_242772_912171,Lynn,MA,Three-Family Residential,3,,,
180,1880,645027.62,M_242827_912282,Lynn,MA,Two-Family Residential,2,,,
181,1910,814397.79,M_242688_912235,Lynn,MA,Two-Family Residential,2,,,
182,1930,832243.09,M_242761_912279,Lynn,MA,Two-Family Residential,2,,,
183,1910,738331.49,M_243261_912628,Lynn,MA,Two-Family Residential,2,,,
184,1860,626430.94,M_243242_912652,Lynn,MA,Two-Family Residential,2,,,
185,1900,850972.38,M_243125_912581,Lynn,MA,Two-Family Residential,2,,,
